"Country Name","Country Code","Year","Value"
"Russian Federation","RUS","1960","119897000"
"Russian Federation","RUS","1961","121236000"
"Russian Federation","RUS","1962","122591000"
"Russian Federation","RUS","1963","123960000"
"Russian Federation","RUS","1964","125345000"
"Russian Federation","RUS","1965","126745000"
"Russian Federation","RUS","1966","127468000"
"Russian Federation","RUS","1967","128196000"
"Russian Federation","RUS","1968","128928000"
"Russian Federation","RUS","1969","129664000"
"Russian Federation","RUS","1970","130404000"
"Russian Federation","RUS","1971","131155000"
"Russian Federation","RUS","1972","131909000"
"Russian Federation","RUS","1973","132669000"
"Russian Federation","RUS","1974","133432000"
"Russian Federation","RUS","1975","134200000"
"Russian Federation","RUS","1976","135147000"
"Russian Federation","RUS","1977","136100000"
"Russian Federation","RUS","1978","137060000"
"Russian Federation","RUS","1979","138027000"
"Russian Federation","RUS","1980","139010000"
"Russian Federation","RUS","1981","139941000"
"Russian Federation","RUS","1982","140823000"
"Russian Federation","RUS","1983","141668000"
"Russian Federation","RUS","1984","142745000"
"Russian Federation","RUS","1985","143858000"
"Russian Federation","RUS","1986","144894000"
"Russian Federation","RUS","1987","145908000"
"Russian Federation","RUS","1988","146857000"
"Russian Federation","RUS","1989","147721000"
"Russian Federation","RUS","1990","148292000"
"Russian Federation","RUS","1991","148624000"
"Russian Federation","RUS","1992","148689000"
"Russian Federation","RUS","1993","148520000"
"Russian Federation","RUS","1994","148336000"
"Russian Federation","RUS","1995","148375726"
"Russian Federation","RUS","1996","148160042"
"Russian Federation","RUS","1997","147915307"
"Russian Federation","RUS","1998","147670692"
"Russian Federation","RUS","1999","147214392"
"Russian Federation","RUS","2000","146596557"
"Russian Federation","RUS","2001","145976083"
"Russian Federation","RUS","2002","145306046"
"Russian Federation","RUS","2003","144648257"
"Russian Federation","RUS","2004","144067054"
"Russian Federation","RUS","2005","143518523"
"Russian Federation","RUS","2006","143049528"
"Russian Federation","RUS","2007","142805088"
"Russian Federation","RUS","2008","142742350"
"Russian Federation","RUS","2009","142785342"
"Russian Federation","RUS","2010","142849449"
"Russian Federation","RUS","2011","142960868"
"Russian Federation","RUS","2012","143201676"
"Russian Federation","RUS","2013","143506911"
"Russian Federation","RUS","2014","143819666"
"Russian Federation","RUS","2015","144096870"
"Russian Federation","RUS","2016","144342396"
